 3T2(LLB):13/09/1999    09:56:05lambda : 1.2251                                                                                     
     100       0   0.050      20       0       0
   0.000
  52000.      0.  300.00    0.00
 1     1 1     3 1     1 1     0 1     6 1     3 1     6 1     4 1     5 1     2
 1     0 1     0 1     4 1     4 1    10 1    10 1     7 1     4 1     3 1     3
 1     1 1     1 1    35 1    54 1   104 1   109 1   131 1    92 1    78 1    61
 1    74 1    72 1    68 1    66 1    70 1    73 1    61 1    67 1    62 1    49
 1    54 1    56 1    52 1    61 1    58 1    56 1    48 1    68 1    53 1    61
 1    68 1    65 1    51 1    59 1    68 1    60 1    57 1    54 1    72 1    72
 2    68 2    75 2    77 2    74 2    83 2    76 2    80 2    85 2    99 2    94
 2    94 2    94 2    91 2    90 2   111 2   105 2    97 2   108 2   106 2   115
 2    94 2   110 2   122 2   117 2   123 2   123 2   124 2   123 2   125 2   130
 2   119 2   122 2   137 2   128 2   120 2   137 2   137 2   142 2   138 2   129
 2   125 2   134 2   136 2   129 2   131 2   127 2   140 2   130 2   121 2   124
 2   123 2   132 2   111 2   127 2   124 2   128 2   121 2   119 2   121 2   125
 3   117 3   119 3   128 3   112 3   123 3   128 3   121 3   121 3   119 3   116
 3   120 3   117 3   128 3   121 3   115 3   130 3   122 3   111 3   118 3   127
 3   108 3   123 3   116 3   119 3   116 3   131 3   112 3   113 3   111 3   110
 3   119 3   109 3   115 3   102 3   116 3   119 3   103 3   121 3   108 3   112
 3   113 3   109 3   123 3   116 3   118 3   111 3   106 3   106 3   116 3   109
 3   127 3   112 3   110 3   106 3   116 3   121 3   112 3   119 3   112 3   110
 4   105 4   130 4   115 4   114 4   114 4   122 4   120 4   127 4   137 4   137
 4   148 4   153 4   148 4   145 4   146 4   148 4   145 4   139 4   123 4   123
 4   116 4   117 4   100 4   102 4   112 4   104 4   112 4   117 4   108 4   101
 4    99 4   108 4   109 4   103 4   104 4   116 4   105 4   108 4   112 4   108
 4   104 4   104 4   104 4   112 4   109 4   112 4   104 4   105 4   105 4   105
 4   103 4    98 4   105 4   104 4   101 4   106 4    98 4   103 4   104 4   101
 5   100 5   115 5   103 5    97 5   104 5   112 5   106 5   106 5   103 5   104
 5   107 5   103 5    96 5   101 5    97 5   104 5   106 5   109 5   106 5   109
 5   112 5   115 5   121 5   128 5   132 5   134 5   156 5   156 5   178 5   210
 5   232 5   265 5   295 5   311 5   326 5   321 5   293 5   271 5   228 5   189
 5   168 5   139 5   116 5   107 5   109 5   101 5    99 5   103 5   106 5   111
 5   101 5   101 5   105 5    99 5   107 5    94 5    97 5   105 5   103 5    95
 5    99 6   102 6    97 6    99 6   105 6   101 6    99 6    99 6   102 6   109
 6    99 6    98 6    99 6   101 6   106 6   109 6   101 6    98 6   108 6   100
 6    94 6   101 6   109 6   116 6   116 6   121 6   117 6   130 6   146 6   162
 6   195 6   216 6   262 6   313 6   348 6   391 6   418 6   421 6   400 6   349
 6   292 6   239 6   189 6   157 6   127 6   122 6   108 6   108 6   101 6   109
 6    97 6   100 6   102 6    97 6    95 6   101 6    96 6   104 6   101 6   100
 6   105 7   103 7   105 7   101 7   101 7   110 7    99 7    98 7   100 7    97
 7    99 7    97 7    99 7   104 7   106 7   102 7   104 7   110 7   122 7   128
 7   151 7   181 7   207 7   274 7   336 7   411 7   509 7   606 7   661 7   701
 7   660 7   603 7   520 7   400 7   313 7   216 7   165 7   134 7   113 7   106
 7   108 7    97 7    96 7   101 7    98 7    95 7    98 7    98 7   105 7    95
 7   101 7   108 7   102 7   104 7    98 7    98 7    93 7   100 7   107 7   101
 7    98 8   102 8   103 8   102 8   100 8   101 8   105 8   110 8   113 8   122
 8   132 8   146 8   166 8   174 8   190 8   201 8   209 8   199 8   181 8   168
 8   146 8   131 8   117 8   110 8   111 8   108 8   103 8   101 8   112 8   103
 8   103 8   105 8   107 8   101 8   100 8   101 8   102 8   102 8   107 8   100
 8    91 8    93 8    94 8   101 8    95 8   101 8   105 8   103 8   103 8   111
 8   119 8   131 8   145 8   159 8   196 8   216 8   241 8   273 8   272 8   263
 8   250 8   220 9   184 9   151 9   127 9   118 9   108 9   109 9   105 9    98
 9    99 9   106 9    97 9   102 9   102 9   101 9   102 9   101 9    99 9   101
 9   100 9    99 9   102 9   109 9   104 9   105 9   109 9   109 9   115 9   127
